标题： 请问一下有没有霍华德的搞笑锦集 不知道是不是搜索姿势不对 	 链接：http://tieba.baidu.com//p/5370150655 	 发帖人：---- 	 发帖时间：10-13 	 回复数量： 0 
标题： 生活大爆炸越来越难看了 	 链接：http://tieba.baidu.com//p/5366134186 	 发帖人：---- 	 发帖时间：10-11 	 回复数量： 3 
标题： 虐脸大法教你如何优雅的瘦脸 	 链接：http://tieba.baidu.com//p/5364455464 	 发帖人：---- 	 发帖时间：10-10 	 回复数量： 1 
标题： 嘿！大家觉得大爆炸里【最能体现友谊】的是哪一集哪个故事呀！ 	 链接：http://tieba.baidu.com//p/2925139452 	 发帖人：---- 	 发帖时间：2014-03 	 回复数量： 17 
标题： 蝙蝠侠来谢耳朵家串门了~ 	 链接：http://tieba.baidu.com//p/5366899779 	 发帖人：---- 	 发帖时间：10-11 	 回复数量： 3 
标题： 你印象中谢耳朵最经典的台词是哪句? 	 链接：http://tieba.baidu.com//p/4443763695 	 发帖人：---- 	 发帖时间：2016-03 	 回复数量： 11 
标题： 谢尔顿太可爱了，逗 	 链接：http://tieba.baidu.com//p/5366180344 	 发帖人：---- 	 发帖时间：10-11 	 回复数量： 2 
标题： 现在贴吧里是出现sm宣传了吗？怎么举报？ 	 链接：http://tieba.baidu.com//p/5367675143 	 发帖人：---- 	 发帖时间：10-12 	 回复数量： 0 
标题： 《生活大爆炸第11季》第二集录屏 	 链接：http://tieba.baidu.com//p/5356183549 	 发帖人：---- 	 发帖时间：10-5 	 回复数量： 0 
标题： 看到这一幕，瞬间兴奋到极点。 	 链接：http://tieba.baidu.com//p/4170689523 	 发帖人：---- 	 发帖时间：2015-11 	 回复数量： 44 
标题： 最不喜欢斯图尔特了，人丑更不搞笑 	 链接：http://tieba.baidu.com//p/5343851249 	 发帖人：---- 	 发帖时间：9-27 	 回复数量： 5 
标题： 潘妮越长越差，小妖精倒是越来越漂亮了 	 链接：http://tieba.baidu.com//p/5369571960 	 发帖人：---- 	 发帖时间：10-13 	 回复数量： 0 
标题： 请问谢尔顿说选择美剧很重要是在哪集啊？ 	 链接：http://tieba.baidu.com//p/5369546794 	 发帖人：---- 	 发帖时间：10-13 	 回复数量： 0 
标题： 求谢耳朵和伯妮的爸爸讨论棒球是哪一集 	 链接：http://tieba.baidu.com//p/5364545596 	 发帖人：---- 	 发帖时间：10-10 	 回复数量： 5 
标题： 求生活大爆炸 第五季，最后一集，在霍华德婚礼上，谢耳朵的致辞 	 链接：http://tieba.baidu.com//p/3139894151 	 发帖人：---- 	 发帖时间：2014-07 	 回复数量： 5 
